instanceId,modelShort,modelLong,strategy,heuristicsInfo,timeLimitSec,runtimeSec,gurobiRuntimeSec,status,bestObj,bestBound,upperBound,mipGapPercent,nodesExplored,lpRootObj,numVars,numConstr,numBinVars,numIntVars,timeFirstIncumbentSec
"j301_3","OOE-300","On-Off Event Based Model","STD","without heuristics",300.0,300.0030519962311,300.0,"TIME_LIMIT",47.0,43.0,47.0,8.5106,16705,1.578563,931,18930,900,900,2.854001045227051
"j301_3","IEE-300","Interval Event Based Model","STD","without heuristics",300.0,300.48354721069336,300.48,"TIME_LIMIT",1.0E100,10.0,1.0E100,,1,,13981,15390,13950,13950,
"j301_3","SEQ-300","Sequencing Model","STD","without heuristics",300.0,0.07694411277770996,0.08,"OPTIMAL",47.0,47.0,47.0,0.0,1,47.0,1584,3734,1552,1552,0.0764169692993164
"j301_4","FCT-300","Flow-Based Continuous Time Model","VS","with heuristics",300.0,6.284624099731445,6.28,"OPTIMAL",62.0,62.0,62.0,0.0,2210,56.0,4992,40257,992,992,0.18270397186279297
"j301_4","DT-300","Discrete Time Model","VS","with heuristics",300.0,0.36076784133911133,0.36,"OPTIMAL",62.0,62.0,62.0,0.0,0,,4526,817,4526,4526,0.004350900650024414
"j301_4","OOE-300","On-Off Event Based Model","VS","with heuristics",300.0,300.0492889881134,300.04,"TIME_LIMIT",62.0,47.0,62.0,24.1935,14689,1.93242,931,18930,900,900,0.014741897583007812
"j301_4","IEE-300","Interval Event Based Model","VS","with heuristics",300.0,300.5917739868164,300.59,"TIME_LIMIT",62.0,10.0,62.0,83.871,1,,13981,15390,13950,13950,0.013321161270141602
"j301_4","SEQ-300","Sequencing Model","VS","with heuristics",300.0,0.05968213081359863,0.06,"OPTIMAL",62.0,62.0,62.0,0.0,0,,1610,3836,1578,1578,0.0018210411071777344
"j301_4","FCT-300","Flow-Based Continuous Time Model","STD","without heuristics",300.0,11.354371070861816,11.35,"OPTIMAL",62.0,62.0,62.0,0.0,2836,55.0,4992,40257,992,992,2.3719429969787598
"j301_4","DT-300","Discrete Time Model","STD","without heuristics",300.0,0.43045616149902344,0.43,"OPTIMAL",62.0,62.0,62.0,0.0,1,55.29508,4526,817,4526,4526,0.28888821601867676
