instanceId,modelKey,modelFamily,modelLongName,strategy,timeLimitSec,heuristicBuildTimeNs,objectiveValue,lowerBound,upperBound,gapPercent,solveTimeSec,nodesExplored,simplexIterations,workUnits,timeLimitReached,solvedOptimal,logFileName
j1201_3,SEQ-600,SEQ,Sequencing Model,VS,600,37791144178,128.0,96.99999999999989,128.0,24.2188,600.0100071430206,6231,1288205,755.09,true,false,output_4.2.txt
j1201_3,SEQ-600,SEQ,Sequencing Model,VH,600,37114528328,131.99999873409854,97.99999999999827,131.99999873409854,25.7576,600.0113899707794,11569,1486555,826.27,true,false,output_4.2.txt
j1201_3,FCT-600,FCT,Flow-Based Continuous Time Model,STD,600,81343823,1.0E100,82.0,1.0E100,100.0,600.0192611217499,1,73425,585.44,true,false,output_4.2.txt
j1201_3,DT-600,DT,Discrete Time Model,STD,600,78168875,247.0,101.00000000000003,247.0,59.1093,600.0823550224304,1222,1300322,1335.97,true,false,output_4.2.txt
j1201_3,OOE-600,OOE,On-Off Event Based Model,STD,600,12054257,1.0E100,1.0,1.0E100,100.0,600.1824178695679,1,31293,440.06,true,false,output_4.2.txt
j1201_3,SEQ-600,SEQ,Sequencing Model,STD,600,23429121,133.0,93.99999999999929,133.0,29.3233,600.0130059719086,14662,1142133,794.92,true,false,output_4.2.txt
j1201_4,FCT-600,FCT,Flow-Based Continuous Time Model,VS,600,37808819294,103.0,79.0,103.0,23.301,600.1853699684143,1,67587,629.63,true,false,output_4.2.txt
j1201_4,FCT-600,FCT,Flow-Based Continuous Time Model,VH,600,38115611106,104.0,79.0,104.0,24.0385,600.0913279056549,1,70034,587.26,true,false,output_4.2.txt
j1201_4,DT-600,DT,Discrete Time Model,VS,600,41480755469,97.0,97.0,97.0,0.0,94.09545087814331,5322,861710,173.79,false,true,output_4.2.txt
j1201_4,DT-600,DT,Discrete Time Model,VH,600,38062621067,97.0,97.0,97.0,0.0,72.33206415176392,5281,536498,127.35,false,true,output_4.2.txt
j1201_4,OOE-600,OOE,On-Off Event Based Model,VS,600,37893652935,102.0,1.0,102.0,99.0196,600.2873349189758,1,33234,420.67,true,false,output_4.2.txt
j1201_4,OOE-600,OOE,On-Off Event Based Model,VH,600,37837089986,1.0E100,1.0,1.0E100,100.0,600.1794011592865,1,33987,412.55,true,false,output_4.2.txt
j1201_4,SEQ-600,SEQ,Sequencing Model,VS,600,38045361328,103.99999998949998,86.16216216226493,103.99999998949998,17.1518,600.0139129161835,8442,1620257,809.32,true,false,output_4.2.txt
j1201_4,SEQ-600,SEQ,Sequencing Model,VH,600,37758818820,102.99999998959281,86.0,102.99999998959281,16.5049,600.0114998817444,9211,1580386,806.93,true,false,output_4.2.txt
j1201_4,FCT-600,FCT,Flow-Based Continuous Time Model,STD,600,91340408,1.0E100,79.0,1.0E100,100.0,600.0295560359955,1,70857,604.42,true,false,output_4.2.txt
j1201_4,DT-600,DT,Discrete Time Model,STD,600,53108280,102.0,97.0,102.0,4.902,600.0071380138397,5928,1907876,1320.85,true,false,output_4.2.txt
